pair_id,evidence_hand_1,evidence_hand_2,evidence_hand_3,evidence_hand_4,evidence_hand_5
P60CD91298FC9,H4C57990EC04D23,HB5B3DDC03FD2B3,H6699DB975F42B8,H21251FA00E7AAF,HBF8705E4BF77A1
P6225608A2F90,H13E2D96FD566D9,H338E631CD86A2F,HE5BBD2A32D8749,HC590B407864D56,HD8E8E53AD3BF44
P6267F5B93E82,HD30E32A5361A8B,H7CE789019407FE,HAB1863FBDA2FFF,H3026F38D43FD22,HF3736ADE72C2E8
P63241BDF42D5,HFB55C08986D6A0,HA89EF69A523AA1,H2802A4211563DC,H2424A1E2D7B215,HEA3543ECCC5AA7
P6369FFCDE0DB,H12E57DCB582753,H365A3548AB1C88,H09F31B64939B07,H64E5485D8841BD,HD281003D68F3B2
P63739E0C4DA2,HF70C76EE4146A6,H6DC46852CF8691,HD081916CDC880F,HC418B8608EF89C,HDB347FDB3A8AB8
P639A31107D7F,H77AAFEECD4B870,HCD1C1C4987EACA,H8F440E1A633854,HE57D7BA79E6D7D,H8DC6667FF4F384
P66AC8DFD579B,H2B3E836444F375,HCE09CA5C06610F,H09D440179F501B,H9225F85174B979,H28EC59F762E9DF
P67352975AED1,HA419ABF97252D8,HE4F30E5D27085A,HDAF23DC586FF6C,H145B45A78A3E89,HC794E9731444D3
P67863F33A703,HF1078BC682E05E,H84D8A61CE50919,HE6F49EC70600E6,HC3F98096F55F7A,HF7A10E26099A7D
P69275F88767B,HFB2202ACBF3F30,H4C112AE0348361,H0F42B83F2E1625,H5B03B79A1EBC47,HC096771102CEA0
P697F8D5FD3F9,H83CDFB2DE40492,H9B548CD82FA081,HDE3C948E983574,H3F63A23D86AC58,HEEABD67E697AC7
P6987BFB37C8D,HD51D3CF4FCDF19,HC2583A9D256D26,H42FCECF243DFD2,H5D645A7B5DA73C,H09EFAA0304DADD
P6996F145A3BB,HAD1518D4347FC3,HD36534E89698D4,H5AE4B8810C93FC,H01994FF6C90230,H858C137805DC75
P6DCAEAE543C1,HAD0C38AD254D30,HA6C08CBB6A6FAD,H7A35B2A5C1FFFE,H2507BADD10177F,H6D74CBA35C5520
P71398D1EE39E,H851E2BDA5E05A3,H18430C234386E1,H29BF8C19863FEC,H8CE1A6147A7CB6,H537B9340E02262
P71D6895EF5A8,HD5418072CD44B9,H58B6FF0EBA4D7A,H6BC170650BFD70,H908D3602C7A8D6,H45CCC89EA8926C
P71D9C001BE9C,H3062297CF2DA45,HDB979F5F4500C9,H1C0D40F3681C46,HA87D9C95ABEA55,H09D52B153B48A3
P73826C7E0BC8,H857424D213BF85,H5AE678B8CF1F98,HBCEEFB86017360,HF341FE01CB8FB7,HD77082F9B8F1D2
P73C7B70AC62E,H1AAD66AA7B4060,H92121BE2F1ECAA,HAFF37BFF160464,H84D737DFCEDCD9,H44F21EAB456150
P755D8EB6CE2E,H55F8206D0ACEA5,H8176D1B39342C5,H54B1DB673236AD,H77498B47B46A10,H881C4D303EF0D2
P78D6FFDD70FC,H4F9F6C83036C93,HB9A98BBEB4D42E,HAFAD20A1A2EA62,HE1315F5884673E,H830B7ED437BD84
P7AA791698BEF,HF0D5427F3766E2,HBF5AAA3ED9D7AD,HEC6097C360C88E,HEDCD56278BA18A,H40E69E1C572779
P7B1C5EEF8FF3,H8C8B4B5F606CC0,HAC93343F9445E0,HE937C0322EF2BE,H85FAB76ADD74B7,HD10C0B1E564B68
P7D94258BEF99,H241169EA828B98,HDE95CBBB19101C,HDDFCD39B9E5A8C,H911D21C83E19E8,HCE1EE4B16CBBEB
P7DD6785222BB,H2CEF99CA9558E4,H2CEF2635E96F6E,H6197855BF57B95,HF18DA9EA2D7DB6,H8D94A029648A10
P7E65858C0DC1,H7A85B84916B8BD,H33B37BB2756739,H82E9D8CD0A6E96,H0EDE5BC029B894,H5CF03BE17897D9
P7EE425ADC41F,H55AFCEF51D5281,H543EFE0BA92CEA,HD4B0A74FAC4F06,HCE02C587BC03E1,H625E329E6CAD61
P8046DBBC854E,HF5884DC4131E79,HE5F9B7BE038D8D,H76EF4C1B96E92E,HE3C9FAC00BE1B2,H17732FFA8843C0
P805A1BBF756D,H7AC35964285DF1,HFEEC38A627361A,HDA41C8D6B2FCE6,HEE02EB82B920D7,H89240F98224E1D
P8195B2F80898,H0B2E6FA08E898E,H857EAAA2AA1C12,H62A6E9A106BD67,HBCB0F5A9957EBA,H857AF5C8C9B45A
P844858D81032,H8BF6DDFCBD5865,H3A16A4D433ED7B,H50EAE54CF66424,HA9EA5C9A5F547E,H39DD41C7074641
P865E47E23969,HE64CC11EE21522,H825673F9E15B80,H0B89755CF37679,HC6FFE93D4F8CE4,HF52FBE6A5195FD
P8662213187FE,H329A2A1DEB921D,H30A7808248ADCC,HD563A41B4B56AD,H183522A7059730,HECF582A046E524
P8699E8B2675A,H5C4595FDFFEC60,H36FDADAA0CEE79,H9A7584BE09EB56,H79472D90FEF3EE,H96063342029031
P8B2DD90CFF1B,HC699CF5CF46F05,H37C879B7D9FCC5,H0ABB6DD20DDABC,H577CA3657D0807,HE432FF2BC98873
P8BEC056339A9,H970886FFD5F234,H3BE56DEED1C0C3,H3777ACF71C11D2,H07452897E3D23C,H14C0D2CB51F577
P8C54DEC7676F,H9ADE21A98736EE,H40AD0A3A17DA4A,H9462042384F084,HE4DEE846AB8D33,HB061A50B18572F
P8D13F7D975A0,HC2BB1C2A9B8BBA,H1061212BE51C18,H6CEC1CF01343BA,HAC6CA593774766,HEB208A1198D4B9
P8D9A777728CB,H432C4C37E9A99A,HC1B7DFB70867CD,H515CE7BC81FC91,HF49CD780C13F4F,H3142CD98BCD58F
P8E0473B981EB,H72EB3EEA3B544B,H65A7EE1B8A4E9A,HDB531F5F3DD9FE,H37479ED3649D52,H4829CA12EBE807
P904FB7191439,HCCA9E455C47C4C,HF63E009A26BDAB,H08FD86842A91ED,H11E94C2BDBEEE3,HFCA5F091659D2F
P909812DA6F0F,H73D5B25B6CB1D0,HF70D07B1040C28,H130D26497CE5F3,HD0CF7DEF65889F,H0AE0830F960FB1
P90D33EAD87C8,H8A7C80D77BFC5C,H870168465B2D02,HF8150A68F087D2,HF5D5B589AE253E,H69ED577EC77FF3
P91D37602EDCA,H6329D63A84DE32,HCB75282AED1F15,HE6B322B52D590A,H54CB30F40C71AE,H7C5CDDA9EDA9C9
P9207B8944326,HCC7F9F4BC147A8,H5882C564B255E2,H6C2597F8383B87,HE3C6DDA6D23823,HB8F6856B13AFB8
P93D6A3BFE4A0,H9AB91CD2640024,HF11341C92823D4,HF36E5E19A02D4D,HEA7A1A439F937A,HDB29AB7A7FCF15
P946BC54FDE58,HE8640F63656168,H014154D9954FD7,HF1851765B5C7A8,H8D9C31153ECBAB,HF3EA9703AD1872
P94E8DA6B408E,H3F97E6E89468EE,HF5E55F00BF30FC,HA0CBD437D51A55,HA21147B03B9B4D,H21D5D8E34DA11D
P950601671AB8,H77E70607F71ED2,H7525A80567403D,H31F46BE9A822AB,HD76782F3DB49A9,H01D5D7E705E1C7
P9594A4C27375,H8291BD0F470A12,H832916DBFAD0B2,H68F08F32E6A98D,HCA1F3C3E82D685,HF275F908EDBC1D
P95BEEB8C7323,HBD12F7CAC6078C,H5D135E233021F1,H16EC7BEE805D85,H95CC4CA8E9C0EB,H4FF22C4E7B5D87
P95D3761FF3C4,H6D2C20E9F1133E,H2D1F9F8D4E57C7,HC71AFAF13EE70E,H4056417B2D2B8F,H06171C6C794962
P9753FE4034BB,H56DE58229E78DD,HE254434C441643,HC7E3E49D1EA777,H7E8FFA5911F8F4,HDB82EF3C6679B4
P97F33CC8DC44,HE99138810E4996,H52602699F088F2,H5A9DE0A6ED227F,H324A5B8EE1870C,H6DA7BBEEAE2D1E
P9933821D40B9,HFC56DC0A58D8A6,HAFA6C9ED40FA7B,H6CE1FCC339793E,H0682DFA2E34D93,H1D5907CB4A0E1C
P99C8BBFBFA77,HB15D72DDFF349A,H936FE501540C87,H4AE1AEC7508123,H09E6D3FDB9760D,HE9E0C688C7FD71
P99F09419EA76,H46A3D775501AA7,HE7FEF112ADD152,H500510228B4354,H81ACEF696C9502,HE972F20B969463
P9D45E369533C,HA2FFCB8051007B,H294C6F26992C5C,H1122972BB46ABB,HB514C716412897,H5FD34845DD8344
P9D4F148725C8,HC296FE9A5D8CBB,H4D7281BAA1D758,H0E251FA6DA74E6,H500E66E4EC924F,H442D6D4B8A815E
P9F401017540A,H00E32F4E853377,H4793288AD5AB05,HACB97D8D180E8C,H23EB19288800AD,H47C66F8B04B2F0
P9F74F836D7DB,H799713DBF57116,H1D094C1ACC6BC5,HF6B06E1CB2893C,HECE462A0B78E64,HB24A5625598462
PA0162818E0CD,H0681B79C4905E7,H897520ECDA48CD,H1FD130085400B1,H0E32E40B2E8A8A,H2AD4B969509DE1
PA159B37C59DA,H2403150A3D15A8,HF5648210F5E1B7,H400097482B0BC3,H685708C68AE9F9,HEAC5F1D4A94213
PA243DCC51FF7,H8603524EDFE0CB,H8EB7C9F4A982EC,H855A7DF8AD6553,HDBB7F7F70DF9F4,H802FDD4216A013
PA2C9E0479388,H1FD2B5BE0ED945,H9154A723BFDBF5,H046177CE8D5380,HE7393AFD34E335,H7EF4BAD494853E
PA34A0ED789BF,HF211224865C4D7,HEC34B11A10807F,H6D8A30FC084C81,HBFF2D519EDA5F4,HBF4082E6B2B01D
PA355EE1B62DE,HB3E9C8452B6E55,H964F5BF7C45319,HEA07E44A70ED4C,H4FC5FCC2821E3D,H18824CB83EEA3C
PA3FA586803F9,HE8C554C88D89E7,H2A5AA9B10C14D8,H564C5A38E763EC,HBC95F2DA13F0DD,H5E5A690427C8F0
PA43744FCB102,H6F656A9C91A950,H2F7A8E3A7C7ABD,HD0CBE20C01A319,H3D9A506E6F9A71,HF2809F6F7E9342
PA478F77370F8,H515C8C89E3AC72,H274C3143C1F04A,H89563031F6E205,H9A1C9A3E147FC0,H0C6F3CC2377887
PA60812D64169,HC3BD95E2A59C77,HAAEDD3BD034CA2,HEA90D080CE0199,HF17072A14AD7A4,H7C5046C8036E51
PA94F91297811,H9D1BEDAA811CF3,H7D1D5BFDA5CEDF,H2BBFD23EA93C21,HCDC586822AC5F7,H6842E06C4F20BC
PAD0E8BDAE765,HC171F276D05001,HF4B1965789D874,H369CEA8CC3721E,H40D1B566D5B217,HD84DAF2F029469
PAD651A605153,H147DD35ABCAE4E,H790A9B03F80971,H8A5C1B7BC50A53,H057F5971E11A7E,H3D96D922F82DA4
PB0972FC4EBC2,HEBC9C049AEDA25,H4EABB74A8C9458,H9A1FE582C9C843,H123039959624CB,HC0E5D27C8C9EB3
PB0DE441A732F,HA0514008C2FAA1,H1185C3040A49E4,H6AD973BEAF98EC,HDAE74F720CADF8,HD2EC668D680435
PB161AD7886EF,H4D5D7EA850778D,H44851F92D4060D,H27A4EE3B492EDA,H59CF990EECF9BF,H9F243A73957884
PB3BFB58892C4,H3418893ED4D556,H4E1BD48BDB3AD5,H226FB2BF45BCAF,H7A0AAB498920BE,HAC2BF38FCB5692
PB47783065BFC,HF806EA0824D77F,H3AFF9101936EDA,HBD1130CA3AC81E,H171D8DD4939D05,H48C0A77A7AED60
PB60975AAC226,HD7D1B71B6B97CB,H06117FE0DB214F,HBD4C82A3ACAA6D,HA9F6C654E3B4C3,HAF46A35337A901
PB6D3E5A5E44B,H478C6030004AE0,HA368B8CBF2BF33,H0FFFC4F8ECFF53,H78B12A5418D081,H011648B8B670BB
PB7EFE5061FA5,HF6276FE8E6CF2A,H20A428D5BB3938,H4DFE00613AD28F,HEE53053BCCF522,H4672D81B154D7A
PB85558CB06B9,H810021008A2426,HD6C77D4957B8D6,H06837E1EC340AB,H5565A2E79ABB5E,HABAC35B73A943B
PBB9F4387DA2A,HFF862025DD13CE,HD42131F2167E10,H1237C1750BD7A2,H944D10BEBFF562,HAA701E5D7E3532
PBBFC266BA137,HA74361EA062E6B,H2036ED88FFB93D,HA4AD69382B71E1,H384E96055A494C,H70DF3056F0C837
PBC56347881CE,H6D9565A0237789,H2B751139312B1B,H741DFA06F51368,H96B7B85A6D9474,HCFE8668489715C
PBC9159ED6997,HDCF9649963DEE9,H2C3B75EC3470D7,H66C6C972A77B08,H3CA20E768CAE4F,H1F39DB15D73FB7
PBE43133F5662,HA82592ED8E59E8,H08556DCF0A7ABD,H0B32DBD2F00CC8,HB96E0150532ACA,H3E41D354B7BA09
PBE8CFAB7229B,H081AA9DA9BCDC2,H562311A5585E43,H6E260D14391C51,HF99F2FD664B1EB,H2160D21859D1CE
PC171E9EFA806,HCC0F1C5A7903E9,HFBFCE1154CBD98,H1BEF72C5640774,HAFAA79CD5E8D33,HEADBA701C3785A
PC1A1C99A3E10,H148BA5CA269B22,H56F657DCB6AAD4,HF04B07DE46830A,HD013B0C65317C0,H229C444CD4B322
PC43DF1CA1C3A,HE446D0BB5320CE,H0EA2CA3284637D,H82B98E0EC42101,HEE7BAF4255EC4D,H57B31AA0F83DD8
PC6F60A353932,H9F0D0FE77361A3,H52A66F63414ED2,H2E7448DA14BD85,H4555E7112F6BDA,H41C241D2054E5C
PC715A431F596,HEC9983D96CB09B,HD00B80A8878891,H6E0CF03D036820,H94C3033DED1365,H65A371F2D842C6
PC7F388D31C72,H6839F01845EB2A,H6578A1AA5C384B,H20DE3C8B4A0C10,HA40119D7EF00FC,H4BD05AD71D2960
PC87B7F7E65B2,H8E09E1F73DF620,H5F889E6C0A7397,H69BBA2AE48771A,H2EF9279E4579F9,H4E36B7645DDAC9
PCBECBD3DD35C,HCB229750D41DF3,H8BC6855CDB6BF8,H4C376A0FB2178F,HA88164BC235391,H0024961FAEAEE9
PCBF4D997E3C1,H0B4B03488C7FFD,H17C8EF5303D814,H1488B4A6A0FA1C,HDE7DDD6D2578E1,HE22F21E78C2DCD
PCC8BB7078D05,H43F8BFB62B04A1,HCA46E9A2BCECB0,H4502AB6E505D89,HD0789F3CAC65FC,HFF74AA2B3FA18B
PCECA43E777E8,H91C65505903152,H1D801FAFF87714,HE3CC69F813A77D,H74DD34F7EEC400,H9CE38772609397
PD0490E3537A0,H84AF68F81E6AA2,H952E51AF4ADABC,HCD5AECB09E7397,H028237233A6451,H86AB890D667460
PD0EDD0A894D5,HEA5FF5C4752200,H0390FC4F17A759,H7797C5359D975C,HE323EF06A44E24,H7CF780E26329EE
PD2973EB9DFDC,H81F47ECECDD385,H1E34C21B38883B,H09637226C07AF2,H105C728AF4040B,HEFFC7B4E2BD87E
PD2A880826518,H964911754E8287,H2E5487542BD524,HD9163517C76886,H8879DBF2884823,HA1906A6F2C988C
PD2B942DA9F21,H619F195F263FAC,HD19E2A8EAE8A2E,H83692FFE22B43B,H9ABA131CE5885A,H3DD25F2BA70387
PD2E5DDAB9C5C,HED853BFD5409DE,H7445B4C924E016,H6FBC704C77DA82,HA4C2141BF57ABD,H2D1C554A39F274
PD500A647C68A,H67BB79AE67A9CF,H680AE5EBA99D86,H158E78C37DC72F,HCF8C7542278DE2,H0887FDA837680D
PD77D2247A1FD,HE5DA6AE8A8B464,H0A92F48557320A,H0093E2EB0BA20E,H5CABC74B5BB302,HCF2466DB5DF95F
PDBBCF04ED8F3,H84D1C72BA78F5B,H5201281F1C2BEF,H3A88FA0CC956DD,HADED4EA5AF25EE,H2D4E1006F8A88A
PDBC8E16F872D,H5C642A396F4E1D,H68BE3C6CC87AF3,H148BA5CA269B22,H317FEFCFFB348F,HCD42CB192D091A
PDC2BE528794E,H32269FAE8ED24D,H26753AAB671969,HE4983B79036EAF,H48CDF368A1FB14,H1FEEAC715C7F98
PDC687210294F,H0602729EF04029,H18296330083684,HC60B1ECC0EB4C0,H9BA3BE4997458A,H981DA286EFBD35
PDCA7A15CAF55,H843D1DDFC25883,HD4491A7C7A70C0,H48EEB0F58FCF4C,H4780E4E0CA0997,H3EE661B3C3E61E
PDD9A686D373F,H7DF76FDDBFC38C,H277DAF10B9A36C,H6E4CCBC8A5E891,H28858F303350A1,HE4502F021FDF8D
PDDC1A392996F,H4E237CE4AB0FEF,HBE579B4F50422B,H5B587BA55675B2,HE266EA11A06D69,H03CB185AF90BC1
PDE7909D72A0B,H629D6A7BCF9C29,H09865393C930CD,H9C5372DBD55C6F,H766943BB39C8F4,H9CE67EF2BB38AE
PDFA6A306F891,H5D42C29C01C34F,HF049B8C5C9F98A,H26DF804DC5D6D1,HA092065FFDC109,H48D9BAB1AAB4CC
PE0B80C2C5D53,H1C0EDD35118B1C,HB006C970A69D36,H69E01B5D33B1DB,H26A30284312992,HA32937348074AF
PE103B0035986,H6D429637E39374,H5F28C28800D9F6,HEC4ABBC6CF66E8,H053E64CE11F5D5,HE281FCCF0E7CE0
PE207D4A85DC0,HE82B6BE81A772E,H6E98ADB9794F78,H18F9B2CFE78EE6,HB20F602E8A5C70,HE19A8690DBD9D2
PE367D05ACBEE,H669EFD03D51783,HA92A45DFAF61AF,HAFCEB158F41CF7,HD3FE8B3DDEC529,H6794A3E0CB20BD
PE36E778EFCC6,H6D1F26D7EA060D,H21EA2EDF66FB78,HBE908157AEE7F6,H5B1B92C4BF37C3,H3655317FF4393B
PE386FD65B0EA,HD61D7BE73C6DC9,H2980FA76C33D9D,H385CDF19CBBBB3,HEBE5F42465F97A,HE09C206539B8C8
